"ID";"word";"word_url";"Translation";"POS";"Phonetic_Transcription";"Meaning";"Phrase";"Translation_Phrase";"Example";"Example_Phrase";"sPhrase";"sExample";"Image";"Credits";"Tags"
"accurate__04__adjective";"accurate";"accurate";"preciso";"adjective";" /ˈækjərət/";"adjective
[WELL-AIMED]
An accurate shot, throw etc succeeds in hitting or reaching the thing that it is intended to hit.
— [adverb] accurately";"Accurate bowling";"boliche preciso";"Accurate bowling";"boliche preciso";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective WELL-AIMED"
"airborne__01__adjective";"airborne";"airborne";"no ar";"adjective";" /ˈeəbɔːn $ ˈerbɔːrn/";"adjective
A plane that is airborne is in the air.";"The stunt pilot gracefully flipped the airborne plane, showcasing their unparalleled aerial skills.";"O piloto dublê graciosamente virou o avião no ar, mostrando suas habilidades aéreas incomparáveis.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective"
"airborne__02__adjective";"airborne";"airborne";"aerotransportado";"adjective";" /ˈeəbɔːn $ ˈerbɔːrn/";"adjective
Airborne soldiers are trained to fight in areas that they get to by jumping out of a plane.";"Airborne acrobats gracefully soared through the colorful circus tent, captivating the audience with their daring aerial stunts.";"Acrobatas aerotransportados voaram graciosamente pela colorida tenda de circo, cativando o público com suas ousadas acrobacias aéreas.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective"
"airborne__03__adjective";"airborne";"airborne";"no ar";"adjective";" /ˈeəbɔːn $ ˈerbɔːrn/";"adjective
Carried through the air.";"Airborne pollutants";"Poluentes transportados pelo ar";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective"
"missile__01__noun";"missile";"missile";"míssil";"noun";" /ˈmɪsaɪl $ ˈmɪsəl/";"noun  [countable]
A weapon that can fly over long distances and that explodes when it hits the thing it has been aimed at.";"A nuclear missile";"um míssil nuclear";"A nuclear missile";"um míssil nuclear";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"missile__02__noun";"missile";"missile";"míssil";"noun";" /ˈmɪsaɪl $ ˈmɪsəl/";"noun  [countable]
An object that is thrown at someone in order to hurt them.";"Demonstrators threw missiles at the police.";"Os manifestantes lançaram mísseis contra a polícia.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"anaconda__01__noun";"anaconda";"anaconda";"anaconda";"noun";" /ˌænəˈkɒndə $ -ˈkɑːn-/";"noun  [countable]
A very large south american snake.";"The zookeeper’s heart skipped a beat as he spotted the massive anaconda slithering through the dense vegetation, its powerful coils glistening under the sun.";"O coração do tratador disparou quando ele avistou a enorme anaconda deslizando pela densa vegetação, suas poderosas espirais brilhando sob o sol.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"ankle__01__noun";"ankle";"ankle";"tornozelo";"noun";" /ˈæŋkəl/";"noun  [countable]
The joint between your foot and your leg.";"Slender ankles";"Tornozelos finos";"Slender ankles";"Tornozelos finos";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"appetizer__01__noun";"appetizer";"appetizer";"aperitivo";"noun";" /ˈæpətaɪzə $ -ər/";"noun  [countable]
A small dish that you eat at the beginning of a meal.";"Are all of the appetizers fried?";"Todos os aperitivos são fritos?";"The best deal was an appetizer of a garlicky baked artichoke dip served in a toasted bread boule.";"O melhor negócio foi um aperitivo de um molho de alcachofra assado com alho servido em um boule de pão torrado.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"appointment__01__noun";"appointment";"appointment";"compromisso";"noun";" /əˈpɔɪntmənt/";"noun
[countable] An arrangement for a meeting at an agreed time and place, for a particular purpose.";"He has an appointment with a client at 10.30.";"Ele tem um compromisso com um cliente às 10h30.";"All consultations are by appointment only.";"Todas as consultas são apenas com hora marcada.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"appointment__02__noun";"appointment";"appointment";"nomeação";"noun";" /əˈpɔɪntmənt/";"noun
[countable, uncountable] When someone is chosen for a position or job.";"They congratulated him on his appointment as chairman.";"Eles o parabenizaram por sua nomeação como presidente.";"They congratulated him on his appointment as chairman.";"Eles o parabenizaram por sua nomeação como presidente.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable, uncountable"
"appointment__03__noun";"appointment";"appointment";"nomeação";"noun";" /əˈpɔɪntmənt/";"noun
[countable] A job or position, usually involving some responsibility.";"He has taken up an appointment as professor of chemistry.";"Ele assumiu o cargo de professor de química.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"assignment__01__noun";"assignment";"assignment";"tarefa";"noun";" /əˈsaɪnmənt/";"noun
[countable, uncountable] A piece of work that is given to someone as part of their job.";"She’s gone to italy on a special assignment.";"Ela foi para a Itália em uma missão especial.";"He was killed while on assignment abroad.";"Ele foi morto durante uma missão no exterior.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable, uncountable"
"assignment__02__noun";"assignment";"assignment";"tarefa";"noun";" /əˈsaɪnmənt/";"noun
[countable] A piece of work that a student is asked to do.";"A history assignment";"Uma tarefa de história";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"assignment__03__noun";"assignment";"assignment";"tarefa";"noun";" /əˈsaɪnmənt/";"noun
[uncountable] When people are given particular jobs to do.";"The teacher divided the class into groups and gave each student a specific assignment, ensuring everyone had the opportunity to showcase their unique skills.";"O professor dividiu a turma em grupos e deu a cada aluno uma tarefa específica, garantindo que todos tivessem a oportunidade de mostrar suas habilidades únicas.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun uncountable"
"assignment__04__noun";"assignment";"assignment";"atribuição";"noun";" /əˈsaɪnmənt/";"noun
[countable] Something such as a place to sit, piece of equipment etc that you are given to use for a particular purpose.";"An aeroplane seat assignment";"Uma atribuição de assento de avião";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"baguette__01__noun";"baguette";"baguette";"baguete";"noun";" /bæˈɡet/";"noun  [countable]
A long thin loaf of bread, made especially in france.";"Every morning I went to buy a baguette at Bluot's boulangerie at the corner of the road.";"Todas as manhãs eu ia comprar uma baguete na boulangerie Bluot's na esquina da rua.";"Place the baguette or flute, seam-side down, on the pan.";"Coloque a baguete ou a flauta, com a emenda voltada para baixo, na assadeira.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"bakery__01__noun";"bakery";"bakery";"padaria";"noun";" /ˈbeɪkəri/";"noun  (plural bakeries) [countable]
A place where bread and cakes are baked, or a shop where they are sold.";"What I do inside the bakery is fold paper boxes before I put the pastries and cakes inside.";"O que faço dentro da padaria é dobrar caixas de papel antes de colocar os pastéis e bolos dentro.";"The driver of a steam-driven wagon was unloading warm loaves of bread fresh from the bakery.";"O motorista de uma carroça a vapor descarregava pães quentes recém-saídos da padaria.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"bandage__01__noun";"bandage";"bandage";"bandagem";"noun";" /ˈbændɪdʒ/";"noun  [countable]
A narrow piece of cloth that you tie around a wound or around a part of the body that has been injured.";"About an hour later, he returned with a bandage around his arm.";"Cerca de uma hora depois, ele voltou com um curativo em volta do braço.";"He looked up at her through the hair falling over his forehead, black against the bandages.";"Ele olhou para ela através do cabelo caindo sobre a testa, preto contra as bandagens.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"bandage__02__verb";"to bandage";"bandage";"enfaixar";"verb";" /ˈbændɪdʒ/";"verb  [transitive]
To tie or cover a part of the body with a bandage.";"The nurse bandaged up his sprained ankle.";"A enfermeira enfaixou seu tornozelo torcido.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb transitive"
"bar__01__noun";"bar";"bar";"bar";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[PLACE TO DRINK IN]
a) A place where alcoholic drinks are served.;
b) [British English] One of the rooms inside a pub.";"A cocktail bar";"Um bar de coquetéis";"The hotel has a licensed bar.";"O hotel tem um bar licenciado.";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable British"
"bar__02__noun";"bar";"bar";"bar";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[PLACE TO BUY DRINK]
A counter where alcoholic drinks are served.";"They stood at the bar.";"Eles ficaram no bar.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"bar__03__noun";"bar";"bar";"barra";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[BLOCK SHAPE]
A small block of solid material that is longer than it is wide.";"A chocolate bar";"Uma barra de chocolate";"A candy bar";"Uma barra de chocolate";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable BLOCK SHAPE"
"bar__04__noun";"bar";"bar";"barra";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[PIECE OF METAL/WOOD]
A length of metal or wood put across a door, window etc to keep it shut or to prevent people going in or out.";"Houses with bars across the windows";"Casas com grades nas janelas";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"bar__05__noun";"bar";"bar";"barra";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[MUSIC]
A group of notes and rests, separated from other groups by vertical lines, into which a line of written music is divided.";"A few bars of the song";"Alguns compassos da música";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable MUSIC"
"bar__06__noun";"bar";"bar";"barra";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[ON COMPUTER SCREEN]
A long narrow shape along the sides or at the top of a computer screen, usually containing signs that you can click on.";"The toolbar";"A barra de ferramentas";"The toolbar";"A barra de ferramentas";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"bar__07__noun";"bar";"bar";"barra";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[IN SPORTS]
The long piece of wood or metal across the top of the goal in sports such as football.";"The ball hit the bar.";"A bola bateu na barra.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable IN SPORTS"
"bar__08__noun";"bar";"bar";"barra";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[PILE OF SAND/STONES]
A long pile of sand or stones under the water at the entrance to a harbour.";"As the ship sailed into the bay, it carefully navigated through the treacherous bar, avoiding the hidden pile of sand and stones lurking beneath the water's surface.";"Enquanto o navio navegava para a baía, ele navegou cuidadosamente pela barra traiçoeira, evitando a pilha escondida de areia e pedras à espreita sob a superfície da água.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"bar__09__noun";"bar";"bar";"barra";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[COLOUR/LIGHT]
A narrow band of colour or light.";"The bar of golden light streamed through the crack in the curtains, casting a vibrant streak across the room.";"A barra de luz dourada fluiu através da fresta das cortinas, lançando um raio vibrante em toda a sala.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable COLOUR LIGHT"
"bar__10__noun";"bar";"bar";"barra";"noun";" /bɑː $ bɑːr/";"noun  [countable]
[UNIFORMS]
A narrow band of metal or cloth worn on a military uniform to show rank.";"The brave soldier proudly displayed his gold bar on his chest, a symbol of his unwavering dedication and hard-earned rank.";"O bravo soldado exibia orgulhosamente sua barra de ouro em seu peito, um símbolo de sua dedicação inabalável e posição conquistada com muito esforço.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable UNIFORMS"
